"depth.m.","date","temperature"
79,2020-06-23,0.48
2,2020-06-24,15.23
3,2020-06-24,14.45
4,2020-06-24,14.28
5,2020-06-24,14.07
6,2020-06-24,13.92
7,2020-06-24,13.53
8,2020-06-24,12.75
9,2020-06-24,11.81
10,2020-06-24,11.24
11,2020-06-24,10.68
12,2020-06-24,9.82
13,2020-06-24,9.18
14,2020-06-24,8.9
15,2020-06-24,8.57
16,2020-06-24,8.17
17,2020-06-24,7.37
18,2020-06-24,6.8
19,2020-06-24,5.88
20,2020-06-24,5.15
21,2020-06-24,4.41
22,2020-06-24,3.92
23,2020-06-24,3.8
24,2020-06-24,3.6
25,2020-06-24,3.44
26,2020-06-24,3.27
27,2020-06-24,3.16
28,2020-06-24,3.15
29,2020-06-24,3.06
30,2020-06-24,2.75
31,2020-06-24,2.62
32,2020-06-24,2.4
33,2020-06-24,2.21
34,2020-06-24,2.01
35,2020-06-24,1.77
36,2020-06-24,1.6
37,2020-06-24,1.41
38,2020-06-24,1.1
39,2020-06-24,0.83
40,2020-06-24,0.68
41,2020-06-24,0.57
42,2020-06-24,0.5
43,2020-06-24,0.45
44,2020-06-24,0.4
45,2020-06-24,0.34
46,2020-06-24,0.15
47,2020-06-24,0.04
48,2020-06-24,0.02
49,2020-06-24,0.01
50,2020-06-24,0.03
51,2020-06-24,0.05
52,2020-06-24,0.05
53,2020-06-24,0.13
54,2020-06-24,0.16
55,2020-06-24,0.19
56,2020-06-24,0.23
57,2020-06-24,0.25
58,2020-06-24,0.28
59,2020-06-24,0.31
60,2020-06-24,0.33
61,2020-06-24,0.34
62,2020-06-24,0.35
63,2020-06-24,0.35
64,2020-06-24,0.36
65,2020-06-24,0.38
66,2020-06-24,0.38
67,2020-06-24,0.38
68,2020-06-24,0.4
69,2020-06-24,0.41
70,2020-06-24,0.43
71,2020-06-24,0.43
72,2020-06-24,0.44
73,2020-06-24,0.45
74,2020-06-24,0.46
75,2020-06-24,0.47
76,2020-06-24,0.47
77,2020-06-24,0.47
78,2020-06-24,0.47
2,2020-06-25,15.92
3,2020-06-25,15.8
4,2020-06-25,15.56
5,2020-06-25,15.07
6,2020-06-25,14.62
7,2020-06-25,13.98
8,2020-06-25,13.49
9,2020-06-25,12.39
10,2020-06-25,11.25
11,2020-06-25,10.37
12,2020-06-25,9.1
13,2020-06-25,8.63
14,2020-06-25,8.31
15,2020-06-25,8.12
16,2020-06-25,7.91
17,2020-06-25,7.37
18,2020-06-25,7.09
19,2020-06-25,6.59
20,2020-06-25,5.88
21,2020-06-25,5.38
22,2020-06-25,4.86
23,2020-06-25,4.45
24,2020-06-25,3.81
25,2020-06-25,3.46
26,2020-06-25,3.08
27,2020-06-25,2.91
28,2020-06-25,2.65
29,2020-06-25,2.51
30,2020-06-25,2.38
31,2020-06-25,2.19
32,2020-06-25,1.97
33,2020-06-25,1.74
34,2020-06-25,1.49
35,2020-06-25,1.29
36,2020-06-25,1.1
37,2020-06-25,0.97
38,2020-06-25,0.83
39,2020-06-25,0.67
40,2020-06-25,0.56
41,2020-06-25,0.44
42,2020-06-25,0.4
43,2020-06-25,0.35
44,2020-06-25,0.26
45,2020-06-25,0.19
46,2020-06-25,0.1
47,2020-06-25,-0.01
48,2020-06-25,0
49,2020-06-25,0.01
50,2020-06-25,-0.02
51,2020-06-25,0
52,2020-06-25,0.04
53,2020-06-25,0.08
54,2020-06-25,0.16
55,2020-06-25,0.24
56,2020-06-25,0.28
57,2020-06-25,0.29
58,2020-06-25,0.3
